"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Bahamas","2008","Articles of rare earths/metals nes","Re-Export","15000","91","Weight in kilograms","91"
"Bahamas","2007","Articles of rare earths/metals nes","Import","7811","562","Weight in kilograms","562"
"Bahamas","2006","Articles of rare earths/metals nes","Import","6304","493","Weight in kilograms","493"
"Bahamas","2005","Articles of rare earths/metals nes","Import","3316","264","Weight in kilograms","264"
"Bahamas","2004","Articles of rare earths/metals nes","Import","4419","348","Weight in kilograms","348"
"Bahamas","2003","Articles of rare earths/metals nes","Import","4775","635","Weight in kilograms","635"
"Bahamas","2002","Articles of rare earths/metals nes","Import","22604","2967","Weight in kilograms","2967"
"Bahamas","2001","Articles of rare earths/metals nes","Import","7556","784","Weight in kilograms","784"
"Bahamas","2000","Articles of rare earths/metals nes","Import","30946","2529","Weight in kilograms","2529"
"Bahamas","1999","Articles of rare earths/metals nes","Import","22098","527","Weight in kilograms","527"
"Bahamas","1998","Articles of rare earths/metals nes","Import","23992","1937","Weight in kilograms","1937"
"Bahamas","1997","Articles of rare earths/metals nes","Import","9395","2062","Weight in kilograms","2062"
"Bahrain","2018","Articles of rare earths/metals nes","Import","4761.1356183","391.6","Weight in kilograms","391.6"
"Bahrain","2017","Articles of rare earths/metals nes","Import","74.3881729","80","Weight in kilograms","80"
"Bahrain","2017","Articles of rare earths/metals nes","Export","1107.976862","1201.4","Weight in kilograms","1201.4"
"Bahrain","2017","Articles of rare earths/metals nes","Re-Export","7.97871","1.4","Weight in kilograms","1.4"
"Bahrain","2016","Articles of rare earths/metals nes","Import","41.3031221","4.54","Weight in kilograms","4.54"
"Bahrain","2016","Articles of rare earths/metals nes","Export","1863.9862302","113","Weight in kilograms","113"
"Bahrain","2016","Articles of rare earths/metals nes","Re-Export","1863.9862302","113","Weight in kilograms","113"
"Bahrain","2015","Articles of rare earths/metals nes","Import","16519.2009711","1012.23","Weight in kilograms","1012.23"
"Bahrain","2014","Articles of rare earths/metals nes","Import","3189","46","Weight in kilograms","46"
"Bahrain","2014","Articles of rare earths/metals nes","Export","5319","190","Weight in kilograms","190"
"Bahrain","2014","Articles of rare earths/metals nes","Re-Export","5319","190","Weight in kilograms","190"
"Bahrain","2013","Articles of rare earths/metals nes","Import","24472","4686","Weight in kilograms","4686"
"Bahrain","2012","Articles of rare earths/metals nes","Import","24800","6204","Weight in kilograms","6204"
"Bahrain","2011","Articles of rare earths/metals nes","Import","160766","48071","Weight in kilograms","48071"
"Bahrain","2010","Articles of rare earths/metals nes","Import","28527","629","Weight in kilograms","629"
"Bahrain","2009","Articles of rare earths/metals nes","Import","39335","18651","Weight in kilograms","18651"
"Bahrain","2008","Articles of rare earths/metals nes","Import","3378","96","Weight in kilograms","96"
"Bahrain","2007","Articles of rare earths/metals nes","Import","42319","2788","Weight in kilograms","2788"
"Bahrain","2006","Articles of rare earths/metals nes","Import","119473","4035","Weight in kilograms","4035"
"Bahrain","2005","Articles of rare earths/metals nes","Import","325733","32775","Weight in kilograms","32775"
"Bahrain","2004","Articles of rare earths/metals nes","Import","276005","19149","Weight in kilograms","19149"
"Bahrain","2003","Articles of rare earths/metals nes","Import","98548","4438","Weight in kilograms","4438"
"Bahrain","2003","Articles of rare earths/metals nes","Export","12181","2000","Weight in kilograms","2000"
"Bahrain","2003","Articles of rare earths/metals nes","Re-Export","12181","2000","Weight in kilograms","2000"
"Bahrain","2002","Articles of rare earths/metals nes","Import","133923","15226","Weight in kilograms","15226"
"Bahrain","2001","Articles of rare earths/metals nes","Import","22418","1630","Weight in kilograms","1630"
"Bahrain","2000","Articles of rare earths/metals nes","Import","15056","1971","Weight in kilograms","1971"
"Bangladesh","2015","Articles of rare earths/metals nes","Import","7706","1000","Weight in kilograms","1000"
"Bangladesh","2013","Articles of rare earths/metals nes","Import","149","250","Weight in kilograms","250"
"Bangladesh","2012","Articles of rare earths/metals nes","Import","1314","650","Weight in kilograms","650"
"Bangladesh","2010","Articles of rare earths/metals nes","Import","729","91","Weight in kilograms","91"
"Bangladesh","2007","Articles of rare earths/metals nes","Import","57","74","Weight in kilograms","74"
"Bangladesh","2005","Articles of rare earths/metals nes","Export","7430","3622","Weight in kilograms","3622"
"Bangladesh","2001","Articles of rare earths/metals nes","Import","473","11","Weight in kilograms","11"
"Bangladesh","1992","Articles of rare earths/metals nes","Import","528","0","No Quantity","0"
"Bangladesh","1991","Articles of rare earths/metals nes","Import","1551","0","No Quantity","0"
"Barbados","2017","Articles of rare earths/metals nes","Import","226","150","Weight in kilograms","150"
"Barbados","2014","Articles of rare earths/metals nes","Import","35","1","Weight in kilograms","1"
"Barbados","2013","Articles of rare earths/metals nes","Import","60","2","Weight in kilograms","2"
"Barbados","2012","Articles of rare earths/metals nes","Import","11","6","Weight in kilograms","6"
"Barbados","2011","Articles of rare earths/metals nes","Import","379","4","Weight in kilograms","4"
"Barbados","2005","Articles of rare earths/metals nes","Import","102","4","Weight in kilograms","4"
"Barbados","2001","Articles of rare earths/metals nes","Import","72","1","Weight in kilograms","1"
"Barbados","2000","Articles of rare earths/metals nes","Import","126","363","Weight in kilograms","363"
"Belarus","2018","Articles of rare earths/metals nes","Import","391300","375.801967382863","Weight in kilograms","375.801967382863"
"Belarus","2018","Articles of rare earths/metals nes","Export","18500","17","Weight in kilograms","17"
"Belarus","2017","Articles of rare earths/metals nes","Import","491700","408.249084249084","Weight in kilograms","408.249084249084"
"Belarus","2017","Articles of rare earths/metals nes","Export","24000","78","Weight in kilograms","78"
"Belarus","2016","Articles of rare earths/metals nes","Import","86100","288","Weight in kilograms","288"
"Belarus","2016","Articles of rare earths/metals nes","Export","10300","21","Weight in kilograms","21"
"Belarus","2015","Articles of rare earths/metals nes","Import","398700","330","Weight in kilograms","330"
"Belarus","2015","Articles of rare earths/metals nes","Export","82900","600","Weight in kilograms","600"
"Belarus","2014","Articles of rare earths/metals nes","Import","2226500","1191","Weight in kilograms","1191"
"Belarus","2014","Articles of rare earths/metals nes","Export","147900","124","Weight in kilograms","124"
"Belarus","2013","Articles of rare earths/metals nes","Import","1585100","1220","Weight in kilograms","1220"
"Belarus","2013","Articles of rare earths/metals nes","Export","98200","138","Weight in kilograms","138"
"Belarus","2012","Articles of rare earths/metals nes","Import","1714900","1193","Weight in kilograms","1193"
"Belarus","2012","Articles of rare earths/metals nes","Export","9300","34","Weight in kilograms","34"
"Belarus","2011","Articles of rare earths/metals nes","Import","1518500","968","Weight in kilograms","968"
"Belarus","2011","Articles of rare earths/metals nes","Export","30800","43","Weight in kilograms","43"
"Belarus","2010","Articles of rare earths/metals nes","Import","646100","351","Weight in kilograms","351"
"Belarus","2009","Articles of rare earths/metals nes","Import","1443000","4753","Weight in kilograms","4753"
"Belarus","2009","Articles of rare earths/metals nes","Export","30300","4","Weight in kilograms","4"
"Belarus","2008","Articles of rare earths/metals nes","Import","893100","419","Weight in kilograms","419"
"Belarus","2008","Articles of rare earths/metals nes","Export","21100","4","Weight in kilograms","4"
"Belarus","2007","Articles of rare earths/metals nes","Import","400","2","Weight in kilograms","2"
"Belarus","2006","Articles of rare earths/metals nes","Import","300","2","Weight in kilograms","2"
"Belarus","2005","Articles of rare earths/metals nes","Import","3000","16","Weight in kilograms","16"
"Belarus","2004","Articles of rare earths/metals nes","Import","8200","30","Weight in kilograms","30"
"Belarus","2001","Articles of rare earths/metals nes","Import","6200","46","Weight in kilograms","46"
"Belarus","2000","Articles of rare earths/metals nes","Import","500","1","Weight in kilograms","1"
"Belarus","1999","Articles of rare earths/metals nes","Import","2199","1062","Weight in kilograms","1062"
"Belgium","2018","Articles of rare earths/metals nes","Import","3220573.07917355","41607.78","Weight in kilograms","41607.78"
"Belgium","2018","Articles of rare earths/metals nes","Export","9582834.33415653","172108.98","Weight in kilograms","172108.98"
"Belgium","2017","Articles of rare earths/metals nes","Import","3025622.97920798","69643.95","Weight in kilograms","69643.95"
"Belgium","2017","Articles of rare earths/metals nes","Export","13323016.1482476","366498.81","Weight in kilograms","366498.81"
"Belgium","2016","Articles of rare earths/metals nes","Import","1516845.94657928","77786.29","Weight in kilograms","77786.29"
"Belgium","2016","Articles of rare earths/metals nes","Export","6329507.31280137","199972.161897942","Weight in kilograms","199972.161897942"
"Belgium","2015","Articles of rare earths/metals nes","Import","2727082","86471","Weight in kilograms","86471"
"Belgium","2015","Articles of rare earths/metals nes","Export","5814408","638315","Weight in kilograms","638315"
"Belgium","2014","Articles of rare earths/metals nes","Import","7021869","137054","Weight in kilograms","137054"
"Belgium","2014","Articles of rare earths/metals nes","Export","8779421","336994","Weight in kilograms","336994"
"Belgium","2013","Articles of rare earths/metals nes","Import","6839201","111451","Weight in kilograms","111451"
"Belgium","2013","Articles of rare earths/metals nes","Export","9688360","291477","Weight in kilograms","291477"
"Belgium","2012","Articles of rare earths/metals nes","Import","8279080","86004","Weight in kilograms","86004"
"Belgium","2012","Articles of rare earths/metals nes","Export","9794222","131188","Weight in kilograms","131188"
"Belgium","2011","Articles of rare earths/metals nes","Import","8831760","93154","Weight in kilograms","93154"
