,Country,Year,Commodity,Flow,Trade (USD)
214,Bahamas,2002,Articles of rare earths/metals nes,Import,22604.0
215,Bahamas,2001,Articles of rare earths/metals nes,Import,7556.0
216,Bahamas,2000,Articles of rare earths/metals nes,Import,30946.0
217,Bahamas,1999,Articles of rare earths/metals nes,Import,22098.0
218,Bahamas,1998,Articles of rare earths/metals nes,Import,23992.0
219,Bahamas,1997,Articles of rare earths/metals nes,Import,9395.0
220,Bahrain,2018,Articles of rare earths/metals nes,Import,4761.1356183
221,Bahrain,2017,Articles of rare earths/metals nes,Import,74.3881729
222,Bahrain,2017,Articles of rare earths/metals nes,Export,1107.976862
223,Bahrain,2017,Articles of rare earths/metals nes,Re-Export,7.97871
224,Bahrain,2016,Articles of rare earths/metals nes,Import,41.3031221
225,Bahrain,2016,Articles of rare earths/metals nes,Export,1863.9862302000001
226,Bahrain,2016,Articles of rare earths/metals nes,Re-Export,1863.9862302000001
227,Bahrain,2015,Articles of rare earths/metals nes,Import,16519.2009711
228,Bahrain,2014,Articles of rare earths/metals nes,Import,3189.0
229,Bahrain,2014,Articles of rare earths/metals nes,Export,5319.0
230,Bahrain,2014,Articles of rare earths/metals nes,Re-Export,5319.0
231,Bahrain,2013,Articles of rare earths/metals nes,Import,24472.0
232,Bahrain,2012,Articles of rare earths/metals nes,Import,24800.0
233,Bahrain,2011,Articles of rare earths/metals nes,Import,160766.0
234,Bahrain,2010,Articles of rare earths/metals nes,Import,28527.0
235,Bahrain,2009,Articles of rare earths/metals nes,Import,39335.0
236,Bahrain,2008,Articles of rare earths/metals nes,Import,3378.0
237,Bahrain,2007,Articles of rare earths/metals nes,Import,42319.0
238,Bahrain,2006,Articles of rare earths/metals nes,Import,119473.0
239,Bahrain,2005,Articles of rare earths/metals nes,Import,325733.0
240,Bahrain,2004,Articles of rare earths/metals nes,Import,276005.0
241,Bahrain,2003,Articles of rare earths/metals nes,Import,98548.0
242,Bahrain,2003,Articles of rare earths/metals nes,Export,12181.0
243,Bahrain,2003,Articles of rare earths/metals nes,Re-Export,12181.0
244,Bahrain,2002,Articles of rare earths/metals nes,Import,133923.0
245,Bahrain,2001,Articles of rare earths/metals nes,Import,22418.0
246,Bahrain,2000,Articles of rare earths/metals nes,Import,15056.0
247,Bangladesh,2015,Articles of rare earths/metals nes,Import,7706.0
248,Bangladesh,2013,Articles of rare earths/metals nes,Import,149.0
249,Bangladesh,2012,Articles of rare earths/metals nes,Import,1314.0
250,Bangladesh,2010,Articles of rare earths/metals nes,Import,729.0
251,Bangladesh,2007,Articles of rare earths/metals nes,Import,57.0
252,Bangladesh,2005,Articles of rare earths/metals nes,Export,7430.0
253,Bangladesh,2001,Articles of rare earths/metals nes,Import,473.0
254,Bangladesh,1992,Articles of rare earths/metals nes,Import,528.0
255,Bangladesh,1991,Articles of rare earths/metals nes,Import,1551.0
256,Barbados,2017,Articles of rare earths/metals nes,Import,226.0
